Eruption date;Country;Volcano Name;Location;Tsunami;Earthquake;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Total Effects : Deaths;Coordinates
2006-06-07;Philippines;Bulusan;Luzon-Philippines;non;non;1565;Stratovolcano;Historical;2;1;1;12.77, 124.05
1104-10-15;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;5;;;63.98, -19.7
1329-06-28;Italy;Etna;Italy;oui;oui;3350;Stratovolcano;Historical;3;;;37.734, 15.004
1485-01-01;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;1;1;32.88, 131.1
1598-05-13;Japan;Asama;Honshu-Japan;non;non;2560;Complex volcano;Historical;2;800;800;36.4, 138.53
1840-01-01;Solomon Is.;Savo;Solomon Is-SW Pacifi;non;non;510;Stratovolcano;Historical;3;;;-9.13, 159.82
1883-03-01;Comoros;Karthala;Indian O-W;non;non;2361;Shield volcano;Historical;2;;;-11.75, 43.38
1890-06-29;Indonesia;Makian;Halmahera-Indonesia;non;non;1357;Stratovolcano;Historical;2;;;0.32, 127.4
1902-08-30;Martinique;Pelee;W Indies;oui;non;1397;Stratovolcano;Historical;4;1500;1500;14.82, -61.17
1970-03-02;Italy;Campi Flegrei;Italy;non;non;458;Caldera;Historical;;3;3;40.827, 14.139
1981-05-14;Indonesia;Semeru;Java;non;non;3676;Stratovolcano;Historical;3;372;372;-8.108, 112.92
1990-11-21;Congo, DRC;Nyiragongo;Africa-C;non;non;3470;Stratovolcano;Historical;;1;1;-1.52, 29.25
1999-01-20;Montserrat;Soufriere Hills;W Indies;oui;non;915;Stratovolcano;Historical;3;;;16.72, -62.18
1812-04-27;St. Vincent & the Grenadines;Soufriere St. Vincent;W Indies;non;non;1220;Stratovolcano;Historical;4;56;56;13.33, -61.18
1827-08-09;Russia;Avachinsky;Kamchatka;non;non;2741;Stratovolcano;Historical;2;;;53.255, 158.83
1846-05-27;Indonesia;Tangkubanparahu;Java;non;non;2084;Stratovolcano;Historical;2;;;-6.77, 107.6
1856-09-25;Japan;Komaga-take;Hokkaido-Japan;non;non;1140;Stratovolcano;Historical;4;20;20;42.07, 140.68
1883-10-06;United States;Augustine;Alaska-SW;oui;non;1252;Lava dome;Historical;4;8;8;59.37, -153.42
1953-03-25;Japan;Myojun Knoll;Izu Is-Japan;oui;non;360;Submarine volcano;Holocene;2;;;32.1, 139.85
1968-07-29;Costa Rica;Arenal;Costa Rica;non;non;1657;Stratovolcano;Historical;3;80;80;10.463, -84.703
1981-04-27;Russia;Alaid;Kuril Is;non;non;2339;Stratovolcano;Historical;2;;;50.858, 155.55
1990-11-25;Indonesia;Kelut;Java;non;non;1731;Stratovolcano;Historical;;4;4;-7.93, 112.308
1820-03-01;United States;Westdahl;Aleutian Is;oui;oui;1654;Stratovolcano;Historical;2;;;54.52, -164.65
1845-09-02;Iceland;Hekla;Iceland-S;non;non;1491;Stratovolcano;Historical;4;;;63.98, -19.7
1953-04-27;Japan;Aso;Kyushu-Japan;non;non;1592;Caldera;Historical;2;6;6;32.88, 131.1
1986-10-15;Indonesia;Merapi;Java;non;non;2947;Stratovolcano;Historical;2;1;1;-7.542, 110.442
